host,date_time,time_zone,endpoint,status_code,size_returned
rpgopher.aist.go.jp,01/Aug/1995:00:02:30,400,/images/KSC-logosmall.gif,304,0
in24.inetnebr.com,01/Aug/1995:00:03:28,400,/shuttle/missions/sts-68/news/sts-68-mcc-12.txt,200,1881
165.213.131.21,01/Aug/1995:00:03:32,400,/images/op-logo-small.gif,200,14915
piweba1y.prodigy.com,01/Aug/1995:00:03:41,400,/images/NASA-logosmall.gif,304,0
haraway.ucet.ufl.edu,01/Aug/1995:00:03:48,400,/shuttle/technology/images/srb_mod_compare_1-small.gif,200,36902
haraway.ucet.ufl.edu,01/Aug/1995:00:03:49,400,/shuttle/technology/images/srb_mod_compare_3-small.gif,200,55666
gw1.att.com,01/Aug/1995:00:03:56,400,/icons/text.xbm,304,0
rpgopher.aist.go.jp,01/Aug/1995:00:04:06,400,/shuttle/missions/sts-70/mission-sts-70.html,200,20224
rpgopher.aist.go.jp,01/Aug/1995:00:04:13,400,/history/apollo/images/apollo-logo1.gif,304,0
rpgopher.aist.go.jp,01/Aug/1995:00:04:17,400,/shuttle/resources/orbiters/discovery-logo.gif,200,4179
rpgopher.aist.go.jp,01/Aug/1995:00:04:17,400,/images/ksclogosmall.gif,200,3635
in24.inetnebr.com,01/Aug/1995:00:04:19,400,/shuttle/missions/sts-68/news/sts-68-mcc-14.txt,200,1418
piweba1y.prodigy.com,01/Aug/1995:00:04:22,400,/history/apollo/images/apollo.gif,200,28847
haraway.ucet.ufl.edu,01/Aug/1995:00:04:29,400,/ksc.html,200,7280
rpgopher.aist.go.jp,01/Aug/1995:00:04:47,400,"/cgi-bin/imagemap/countdown70?54,211",302,110
ppp8.montrealnet.ca,01/Aug/1995:00:05:01,400,/images/KSC-logosmall.gif,200,1204
slip4086.sirius.com,01/Aug/1995:00:05:12,400,/software/winvn/bluemarb.gif,200,4441
slip4086.sirius.com,01/Aug/1995:00:05:18,400,/images/KSC-logosmall.gif,200,1204
village.islandnet.com,01/Aug/1995:00:05:21,400,/shuttle/missions/sts-68/images/ksc-upclose.gif,200,86984
slip4086.sirius.com,01/Aug/1995:00:05:23,400,/images/WORLD-logosmall.gif,200,669
ppp8.montrealnet.ca,01/Aug/1995:00:05:36,400,/history/apollo/images/apollo-logo1.gif,200,1173
van10271.direct.ca,01/Aug/1995:00:05:51,400,/software/winvn/winvn.gif,200,25218
134.h-pm2.vgs3.westel.com,01/Aug/1995:00:05:55,400,/software/winvn/winvn.gif,200,25218
haraway.ucet.ufl.edu,01/Aug/1995:00:05:58,400,/shuttle/missions/sts-71/movies/sts-71-tcdt-crew-walkout.mpg,200,887988
van15422.direct.ca,01/Aug/1995:00:06:11,400,/software/winvn/winvn.html,200,9866
ix-dfw12-08.ix.netcom.com,01/Aug/1995:00:06:21,400,/software/winvn/bluemarb.gif,200,4441
134.h-pm2.vgs3.westel.com,01/Aug/1995:00:06:21,400,/images/WORLD-logosmall.gif,200,669
js002.cc.utsunomiya-u.ac.jp,01/Aug/1995:00:06:25,400,/shuttle/resources/orbiters/discovery.html,200,6849
uplherc.upl.com,01/Aug/1995:00:06:58,400,/shuttle/missions/sts-68/images/ksc-upclose.gif,200,86984
piweba1y.prodigy.com,01/Aug/1995:00:07:06,400,/history/apollo/images/apollo-logo1.gif,200,1173
van15422.direct.ca,01/Aug/1995:00:07:23,400,/software/winvn/wvsmall.gif,200,13372
piweba4y.prodigy.com,01/Aug/1995:00:07:35,400,/images/ksclogosmall.gif,200,3635
ad06-061.compuserve.com,01/Aug/1995:00:07:55,400,/images/ksclogosmall.gif,200,3635
ip-pdx6-54.teleport.com,01/Aug/1995:00:07:59,400,/history/apollo/apollo-13/apollo-13-patch-small.gif,200,12859
ip-pdx6-54.teleport.com,01/Aug/1995:00:08:01,400,/history/apollo/images/footprint-small.gif,200,18149
slip-4-12.ots.utexas.edu,01/Aug/1995:00:08:34,400,/images/ksclogosmall.gif,200,3635
piweba3y.prodigy.com,01/Aug/1995:00:08:42,400,/images/launch-logo.gif,200,1713
ad11-061.compuserve.com,01/Aug/1995:00:08:46,400,/shuttle/missions/sts-70/movies/movies.html,200,2979
139.230.35.135,01/Aug/1995:00:08:47,400,/shuttle/countdown/,304,0
piweba4y.prodigy.com,01/Aug/1995:00:08:50,400,/history/apollo/images/footprint-logo.gif,200,4209
139.230.35.135,01/Aug/1995:00:08:52,400,/images/NASA-logosmall.gif,200,786
piweba1y.prodigy.com,01/Aug/1995:00:09:40,400,/history/apollo/images/footprint-logo.gif,200,4209
uplherc.upl.com,01/Aug/1995:00:09:45,400,/shuttle/missions/sts-70/sts-70-patch-small.gif,200,5978
uplherc.upl.com,01/Aug/1995:00:09:55,400,/facilities/lc39a.html,200,7008
uplherc.upl.com,01/Aug/1995:00:09:57,400,/images/kscmap-tiny.gif,200,2537
piweba3y.prodigy.com,01/Aug/1995:00:10:22,400,/shuttle/missions/sts-71/images/index71.gif,200,337360
rainbow.mts.chiba-u.ac.jp,01/Aug/1995:00:10:48,400,/images/MOSAIC-logosmall.gif,200,363
www-b5.proxy.aol.com,01/Aug/1995:00:11:11,400,/history/apollo/images/footprint-small.gif,200,18149
dd09-012.compuserve.com,01/Aug/1995:00:11:19,400,/images/WORLD-logosmall.gif,200,669
www-b5.proxy.aol.com,01/Aug/1995:00:11:28,400,/history/apollo/apollo-13/apollo-13.html,200,18556
www-b5.proxy.aol.com,01/Aug/1995:00:11:59,400,/images/ksclogosmall.gif,200,3635
www-b5.proxy.aol.com,01/Aug/1995:00:11:59,400,/history/apollo/images/footprint-logo.gif,200,4209
ad06-061.compuserve.com,01/Aug/1995:00:12:10,400,/history/apollo/apollo-13/apollo-13.html,200,18556
ix-dfw12-08.ix.netcom.com,01/Aug/1995:00:13:14,400,/software/winvn/userguide/docsrigh.gif,200,483
ix-dfw12-08.ix.netcom.com,01/Aug/1995:00:13:15,400,/software/winvn/userguide/winvn30.gif,200,3582
ns2.sharp.co.jp,01/Aug/1995:00:13:16,400,/images/MOSAIC-logosmall.gif,200,363
128.159.129.170,01/Aug/1995:00:13:18,400,/images/NASA-logosmall.gif,200,786
128.159.129.170,01/Aug/1995:00:13:18,400,/images/MOSAIC-logosmall.gif,200,363
128.159.129.170,01/Aug/1995:00:13:19,400,/images/WORLD-logosmall.gif,200,669
ns2.sharp.co.jp,01/Aug/1995:00:13:24,400,/images/USA-logosmall.gif,200,234
dd09-012.compuserve.com,01/Aug/1995:00:13:30,400,/facts/facts.html,200,4722
www-d3.proxy.aol.com,01/Aug/1995:00:13:52,400,/icons/menu.xbm,200,527
uplherc.upl.com,01/Aug/1995:00:14:41,400,/shuttle/technology/sts-newsref/stsref-toc.html,200,84905
dd09-012.compuserve.com,01/Aug/1995:00:14:57,400,/images/ksclogosmall.gif,200,3635
js002.cc.utsunomiya-u.ac.jp,01/Aug/1995:00:15:01,400,/images/launch.gif,200,240458
143.158.26.50,01/Aug/1995:00:15:11,400,/history/apollo/images/apollo-logo1.gif,200,1173
194.157.109.130,01/Aug/1995:00:15:41,400,/history/rocket-history.txt,200,26990
131.235.117.31,01/Aug/1995:00:16:17,400,/icons/menu.xbm,200,527
131.235.117.31,01/Aug/1995:00:16:22,400,/icons/unknown.xbm,200,515
scctn02.sp.ac.sg,01/Aug/1995:00:16:59,400,/,200,7280
palpk-s13.intac.com,01/Aug/1995:00:17:01,400,/icons/image.xbm,200,509
palpk-s13.intac.com,01/Aug/1995:00:17:05,400,/icons/unknown.xbm,200,515
143.158.26.50,01/Aug/1995:00:17:29,400,/shuttle/missions/missions.html,200,8677
ad11-061.compuserve.com,01/Aug/1995:00:17:38,400,/shuttle/missions/sts-70/movies/sts-70-launch.mpg,200,717587
143.158.26.50,01/Aug/1995:00:18:17,400,/shuttle/missions/61-c/61-c-patch-small.gif,200,11963
ppp3_069.bekkoame.or.jp,01/Aug/1995:00:19:39,400,/images/NASA-logosmall.gif,200,786
ppp3_069.bekkoame.or.jp,01/Aug/1995:00:19:40,400,/images/KSC-logosmall.gif,200,1204
palpk-s13.intac.com,01/Aug/1995:00:19:43,400,/images/de-logo.gif,200,863
van15423.direct.ca,01/Aug/1995:00:20:29,400,/images/construct.gif,304,0
van15423.direct.ca,01/Aug/1995:00:20:30,400,/images/KSC-logosmall.gif,304,0
ip-pdx8-55.teleport.com,01/Aug/1995:00:20:42,400,/ksc.html,200,7280
cs1-08.leh.ptd.net,01/Aug/1995:00:20:48,400,/images/MOSAIC-logosmall.gif,200,363
ppp3_069.bekkoame.or.jp,01/Aug/1995:00:21:05,400,"/cgi-bin/imagemap/countdown70?186,284",302,110
128.159.129.170,01/Aug/1995:00:21:06,400,/images/ksclogo-medium.gif,200,5866
palpk-s13.intac.com,01/Aug/1995:00:21:18,400,/images/whatsnew.gif,200,651
sunset.somcau.siu.edu,01/Aug/1995:00:21:24,400,/shuttle/missions/sts-66/mission-sts-66.html,200,174452
tsip52.ionet.net,01/Aug/1995:00:21:26,400,/images/KSC-logosmall.gif,200,1204
palpk-s13.intac.com,01/Aug/1995:00:21:28,400,/images/slf-logo.gif,200,10966
dd09-012.compuserve.com,01/Aug/1995:00:21:56,400,/history/apollo/images/apollo-logo1.gif,200,1173
www-c6.proxy.aol.com,01/Aug/1995:00:22:14,400,/images/IMPACT.JPG,200,169883
pm6a3.sover.net,01/Aug/1995:00:22:27,400,/ksc.html,200,7280
pm6a3.sover.net,01/Aug/1995:00:22:33,400,/images/NASA-logosmall.gif,200,786
cs1-08.leh.ptd.net,01/Aug/1995:00:22:41,400,/shuttle/missions/sts-71/movies/sts-71-launch-3.mpg,200,130724
palpk-s13.intac.com,01/Aug/1995:00:22:50,400,/images/imagemaps/stats.map,200,331
pwestec.sierra.net,01/Aug/1995:00:22:53,400,/biomed/wwwicons/purple.gif,200,334
pwestec.sierra.net,01/Aug/1995:00:22:54,400,/biomed/wwwicons/blue.gif,200,334
ppp3_069.bekkoame.or.jp,01/Aug/1995:00:23:06,400,/shuttle/missions/sts-70/movies/sts-70-launch.mpg,200,57344
www-c6.proxy.aol.com,01/Aug/1995:00:24:00,400,/images/cm-map.gif,200,22011
dd12-062.compuserve.com,01/Aug/1995:00:24:37,400,/shuttle/missions/missions.html,200,8677
cherry.hip.berkeley.edu,01/Aug/1995:00:24:45,400,/history/apollo/images/footprint-logo.gif,200,4209
piweba1y.prodigy.com,01/Aug/1995:00:24:46,400,/images/launch-logo.gif,200,1713
ras15.srv.net,01/Aug/1995:00:24:57,400,/shuttle/missions/missions.html,200,8677
133.43.106.47,01/Aug/1995:00:25:11,400,/images/USA-logosmall.gif,200,234
ix-sea6-23.ix.netcom.com,01/Aug/1995:00:25:14,400,/software/winvn/bluemarb.gif,200,4441
ras15.srv.net,01/Aug/1995:00:25:15,400,/images/NASA-logosmall.gif,200,786
ix-sea6-23.ix.netcom.com,01/Aug/1995:00:25:26,400,/images/WORLD-logosmall.gif,200,669
grail911.nando.net,01/Aug/1995:00:25:47,400,/icons/blank.xbm,200,509
ix-min1-02.ix.netcom.com,01/Aug/1995:00:26:06,400,/history/apollo/apollo-12/apollo-12-patch-small.gif,200,11644
dialip129.gov.bc.ca,01/Aug/1995:00:26:14,400,/history/apollo/apollo-11/movies/,200,381
slip9-162.beta.delphi.com,01/Aug/1995:00:26:30,400,/shuttle/resources/orbiters/discovery.html,200,6849
ix-min1-02.ix.netcom.com,01/Aug/1995:00:26:31,400,/history/apollo/apollo-12/,200,1732
ix-min1-02.ix.netcom.com,01/Aug/1995:00:26:40,400,/history/apollo/apollo-12/movies/,200,381
ix-min1-02.ix.netcom.com,01/Aug/1995:00:26:50,400,/history/apollo/apollo-12/,200,1732
tia1.eskimo.com,01/Aug/1995:00:26:56,400,/images/KSC-logosmall.gif,200,1204
pm9.j51.com,01/Aug/1995:00:27:24,400,/history/apollo/apollo-1/images/apollo-1-crew.gif,200,250849
in24.inetnebr.com,01/Aug/1995:00:27:59,400,/shuttle/technology/sts-newsref/et.html,200,20327
198.248.59.123,01/Aug/1995:00:28:46,400,/images/launchmedium.gif,200,11853
ix-min1-02.ix.netcom.com,01/Aug/1995:00:28:57,400,/history/apollo/apollo-12/,200,1732
piweba3y.prodigy.com,01/Aug/1995:00:29:02,400,/images/ksclogosmall.gif,200,3635
adam.tower.com.au,01/Aug/1995:00:30:28,400,/shuttle/missions/sts-71/images/images.html,200,8529
adam.tower.com.au,01/Aug/1995:00:30:36,400,/shuttle/missions/sts-71/images/images.html,200,8529
198.248.59.123,01/Aug/1995:00:30:38,400,/history/apollo/images/apollo-logo.gif,200,3047
www-b3.proxy.aol.com,01/Aug/1995:00:30:57,400,/images/launch-logo.gif,200,1713
www-b5.proxy.aol.com,01/Aug/1995:00:31:07,400,/history/skylab/skylab-small.gif,200,9202
pm9.j51.com,01/Aug/1995:00:31:12,400,/history/apollo/apollo-1/images/67HC33a.gif,200,79452
www-b5.proxy.aol.com,01/Aug/1995:00:31:41,400,/history/skylab/skylab-2.html,200,1478
cs1-08.leh.ptd.net,01/Aug/1995:00:31:43,400,/images/ksclogo-medium.gif,200,5866
dynamic-ara3.csuchico.edu,01/Aug/1995:00:31:44,400,/ksc.html,200,7280
rdr4.ccinet.ab.ca,01/Aug/1995:00:31:46,400,/shuttle/countdown/count70.gif,304,0
cs1-08.leh.ptd.net,01/Aug/1995:00:31:48,400,/images/NASA-logosmall.gif,200,786
www-d1.proxy.aol.com,01/Aug/1995:00:32:03,400,/shuttle/technology/images/srb_mod_compare_3-small.gif,200,55666
dialip129.gov.bc.ca,01/Aug/1995:00:32:11,400,/history/apollo/apollo-12/apollo-12-info.html,200,1457
www-b5.proxy.aol.com,01/Aug/1995:00:32:12,400,/history/skylab/skylab-4-small.gif,200,13775
line10.pm1.abb.mindlink.net,01/Aug/1995:00:32:55,400,"/cgi-bin/imagemap/countdown70?289,288",302,85
line10.pm1.abb.mindlink.net,01/Aug/1995:00:32:59,400,/htbin/cdt_main.pl,200,3714
dialip129.gov.bc.ca,01/Aug/1995:00:33:01,400,/history/apollo/apollo-12/images/,200,1329
www-d1.proxy.aol.com,01/Aug/1995:00:33:30,400,/whats-new.html,200,18936
prakinf2.prakinf.tu-ilmenau.de,01/Aug/1995:00:33:31,400,/images/shuttle-patch-small.gif,200,4179
ix-cha-nc1-02.ix.netcom.com,01/Aug/1995:00:33:34,400,/images/NASA-logosmall.gif,200,786
blv-pm11-ip17.halcyon.com,01/Aug/1995:00:33:44,400,/shuttle/technology/sts-newsref/sts-mps.html,200,215409
hun8.ramlink.net,01/Aug/1995:00:33:49,400,/shuttle/missions/sts-68/sts-68-patch-small.gif,200,17459
in24.inetnebr.com,01/Aug/1995:00:33:49,400,/shuttle/missions/sts-59/sts-59-patch-small.gif,200,12181
ix-cha-nc1-02.ix.netcom.com,01/Aug/1995:00:33:55,400,/shuttle/countdown/video/livevideo2.gif,200,71319
itws.info.eng.niigata-u.ac.jp,01/Aug/1995:00:34:01,400,/images/NASA-logosmall.gif,200,786
itws.info.eng.niigata-u.ac.jp,01/Aug/1995:00:34:07,400,/images/WORLD-logosmall.gif,200,669
ykline6.internorth.com,01/Aug/1995:00:34:09,400,/images/flight-deck.gif,200,196608
pme609.onramp.awinc.com,01/Aug/1995:00:34:12,400,/images/launch-logo.gif,200,1713
hun8.ramlink.net,01/Aug/1995:00:34:13,400,/images/launch-logo.gif,200,1713
192.127.139.163,01/Aug/1995:00:34:22,400,/,200,7280
in24.inetnebr.com,01/Aug/1995:00:34:27,400,/shuttle/missions/sts-59/sts-59-patch-small.gif,200,12181
dialip129.gov.bc.ca,01/Aug/1995:00:34:38,400,/history/apollo/apollo-1/images/,200,1190
lutzp.tigernet.net,01/Aug/1995:00:34:48,400,/software/winvn/winvn.html,200,9866
dd09-012.compuserve.com,01/Aug/1995:00:34:48,400,/facts/launch-pass.txt,200,29823
lutzp.tigernet.net,01/Aug/1995:00:34:51,400,/software/winvn/winvn.gif,200,25218
futurcom.nai.net,01/Aug/1995:00:34:57,400,/shuttle/missions/sts-70/sts-70-patch-small.gif,200,5978
205.199.120.118,01/Aug/1995:00:35:10,400,/images/MOSAIC-logosmall.gif,200,363
205.199.120.118,01/Aug/1995:00:35:14,400,/images/WORLD-logosmall.gif,200,669
general2.asu.edu,01/Aug/1995:00:35:15,400,/facts/faq01.html,200,19320
www-d1.proxy.aol.com,01/Aug/1995:00:35:31,400,/elv/endball.gif,200,306
ix-cha-nc1-02.ix.netcom.com,01/Aug/1995:00:35:48,400,/shuttle/missions/sts-71/sts-71-patch-small.gif,200,12054
uplherc.upl.com,01/Aug/1995:00:35:53,400,/shuttle/countdown/,200,4324
ix-cha-nc1-02.ix.netcom.com,01/Aug/1995:00:35:59,400,/history/apollo/images/apollo-logo1.gif,200,1173
grimnet23.idirect.com,01/Aug/1995:00:36:06,400,/images/MOSAIC-logosmall.gif,200,363
adam.tower.com.au,01/Aug/1995:00:36:18,400,/shuttle/missions/sts-71/images/KSC-95EC-0950.gif,200,27286
bdmgate.bdm.com,01/Aug/1995:00:36:23,400,/images/KSC-logosmall.gif,200,1204
www-d1.proxy.aol.com,01/Aug/1995:00:36:25,400,/elv/vidpicp.htm,200,4251
stockyard17.onramp.net,01/Aug/1995:00:36:32,400,/images/launchmedium.gif,200,11853
uplherc.upl.com,01/Aug/1995:00:36:34,400,/shuttle/missions/sts-70/images/KSC-95EC-0768.jpg,200,76048
www-d1.proxy.aol.com,01/Aug/1995:00:36:39,400,/elv/ATLAS_CENTAUR/atc69s.jpg,200,1659
ix-cha-nc1-02.ix.netcom.com,01/Aug/1995:00:36:46,400,/history/history.html,200,1602
www-d1.proxy.aol.com,01/Aug/1995:00:37:01,400,/elv/ATLAS_CENTAUR/acsuns.jpg,200,2263
www-d1.proxy.aol.com,01/Aug/1995:00:37:20,400,/elv/SCOUT/radcals.jpg,200,1809
www-d1.proxy.aol.com,01/Aug/1995:00:37:23,400,/elv/SCOUT/s_216s.jpg,200,1633
itws.info.eng.niigata-u.ac.jp,01/Aug/1995:00:37:24,400,/images/NASA-logosmall.gif,200,786
futurcom.nai.net,01/Aug/1995:00:37:26,400,/images/rollback.gif,200,52516
dialip129.gov.bc.ca,01/Aug/1995:00:37:36,400,/history/apollo/apollo-1/docs/,200,374
133.43.96.45,01/Aug/1995:00:37:40,400,/images/WORLD-logosmall.gif,200,669
remote.redzone.com,01/Aug/1995:00:37:41,400,/icons/image.xbm,200,509
chuken02.shinshu-u.ac.jp,01/Aug/1995:00:38:00,400,/images/WORLD-logosmall.gif,200,669
pme609.onramp.awinc.com,01/Aug/1995:00:38:42,400,/shuttle/missions/51-l/51-l-patch-small.gif,200,10495
itws.info.eng.niigata-u.ac.jp,01/Aug/1995:00:38:42,400,/images/KSC-logosmall.gif,200,1204
piweba3y.prodigy.com,01/Aug/1995:00:38:52,400,/facilities/lc39a.html,200,7008
stockyard17.onramp.net,01/Aug/1995:00:38:53,400,/images/ksclogosmall.gif,200,3635
remote.redzone.com,01/Aug/1995:00:39:21,400,/history/apollo/apollo-13/images/index.gif,200,99942
stockyard17.onramp.net,01/Aug/1995:00:39:51,400,/shuttle/resources/orbiters/endeavour.html,200,6168
ix-tf5-17.ix.netcom.com,01/Aug/1995:00:39:53,400,/images/launchpalms-small.gif,200,11473
stockyard17.onramp.net,01/Aug/1995:00:39:53,400,/shuttle/resources/orbiters/endeavour-logo.gif,200,5052
ix-tf5-17.ix.netcom.com,01/Aug/1995:00:40:03,400,/images/KSC-logosmall.gif,200,1204
dd01-045.compuserve.com,01/Aug/1995:00:40:06,400,/shuttle/missions/sts-70/images/woodpecker-on-et.gif,200,7318
stockyard17.onramp.net,01/Aug/1995:00:40:18,400,/shuttle/missions/sts-49/mission-sts-49.html,200,9271
cherry.hip.berkeley.edu,01/Aug/1995:00:40:22,400,/shuttle/missions/sts-69/mission-sts-69.html,200,10566
199.190.95.40,01/Aug/1995:00:40:37,400,/images/USA-logosmall.gif,200,234
ppp-06-uf-cs1.nerdc.ufl.edu,01/Aug/1995:00:40:43,400,/software/winvn/winvn.html,304,0
199.190.95.40,01/Aug/1995:00:41:09,400,/shuttle/countdown/count70.gif,200,46573
in24.inetnebr.com,01/Aug/1995:00:41:17,400,/shuttle/missions/sts-59/images/,200,378
adam.tower.com.au,01/Aug/1995:00:41:19,400,/shuttle/missions/missions.html,200,8677
cherry.hip.berkeley.edu,01/Aug/1995:00:41:20,400,/shuttle/missions/sts-70/mission-sts-70.html,200,20224
adam.tower.com.au,01/Aug/1995:00:41:21,400,/images/launchmedium.gif,200,11853
port42.ts2.msstate.edu,01/Aug/1995:00:41:21,400,/images/shuttle-patch-small.gif,200,4179
dialup-2-139.gw.umn.edu,01/Aug/1995:00:41:29,400,/history/apollo/apollo-8/apollo-8-patch-small.gif,200,11326
stockyard17.onramp.net,01/Aug/1995:00:41:32,400,/images/USA-logosmall.gif,200,234
stockyard17.onramp.net,01/Aug/1995:00:41:32,400,/images/WORLD-logosmall.gif,200,669
chuken02.shinshu-u.ac.jp,01/Aug/1995:00:41:38,400,/shuttle/technology/sts-newsref/sts_overview.html,200,65536
port42.ts2.msstate.edu,01/Aug/1995:00:41:38,400,/shuttle/technology/sts-newsref/stsref-toc.html,200,84905
168.78.14.166,01/Aug/1995:00:41:48,400,/icons/image.xbm,200,509
in24.inetnebr.com,01/Aug/1995:00:41:49,400,/shuttle/missions/sts-59/,200,1747
dialup-2-139.gw.umn.edu,01/Aug/1995:00:41:57,400,/history/apollo/apollo-8/apollo-8-info.html,200,1434
chuken02.shinshu-u.ac.jp,01/Aug/1995:00:42:12,400,/images/KSC-logosmall.gif,200,1204
cherry.hip.berkeley.edu,01/Aug/1995:00:42:26,400,/history/history.html,200,1602
168.78.14.166,01/Aug/1995:00:42:32,400,/icons/menu.xbm,200,527
dialup-2-139.gw.umn.edu,01/Aug/1995:00:42:40,400,/history/apollo/apollo-8/images/68HC870.GIF,200,57344
bonnou.lab.kdd.co.jp,01/Aug/1995:00:42:42,400,/shuttle/technology/images/mission_profile_2-small.gif,200,35540
ts2-002.jaxnet.com,01/Aug/1995:00:43:10,400,/software/winvn/bluemarb.gif,304,0
ts2-002.jaxnet.com,01/Aug/1995:00:43:12,400,/images/WORLD-logosmall.gif,304,0
dial3-15.midwest.net,01/Aug/1995:00:44:11,400,/images/USA-logosmall.gif,200,234
rs31-annex3.sfu.ca,01/Aug/1995:00:44:28,400,/htbin/cdt_clock.pl,200,543
fat.coara.or.jp,01/Aug/1995:00:44:28,400,/history/apollo/images/apollo-logo1.gif,200,1173
dial3-15.midwest.net,01/Aug/1995:00:44:30,400,/images/WORLD-logosmall.gif,200,669
ix-aus4-15.ix.netcom.com,01/Aug/1995:00:44:41,400,/history/apollo/images/apollo-small.gif,200,9630
adam.tower.com.au,01/Aug/1995:00:45:06,400,/shuttle/countdown/liftoff.html,200,5220
199.2.139.127,01/Aug/1995:00:45:20,400,/images/launch-logo.gif,200,1713
199.2.139.127,01/Aug/1995:00:45:22,400,/history/apollo/images/apollo-logo1.gif,200,1173
gatekeeper.us.oracle.com,01/Aug/1995:00:45:35,400,/images/KSC-logosmall.gif,200,1204
gatekeeper.us.oracle.com,01/Aug/1995:00:45:35,400,/images/launchpalms-small.gif,200,11473
gatekeeper.us.oracle.com,01/Aug/1995:00:45:52,400,/images/ksclogo-medium.gif,200,5866
gatekeeper.us.oracle.com,01/Aug/1995:00:45:56,400,/images/WORLD-logosmall.gif,200,669
ix-dc7-17.ix.netcom.com,01/Aug/1995:00:46:15,400,/images/NASA-logosmall.gif,200,786
www-a2.proxy.aol.com,01/Aug/1995:00:46:27,400,/facilities/vab.html,200,4045
bonnou.lab.kdd.co.jp,01/Aug/1995:00:46:33,400,/images/NASA-logosmall.gif,200,786
bonnou.lab.kdd.co.jp,01/Aug/1995:00:46:34,400,/images/USA-logosmall.gif,200,234
www-a1.proxy.aol.com,01/Aug/1995:00:47:18,400,/,200,7280
ix-min1-02.ix.netcom.com,01/Aug/1995:00:47:25,400,/history/apollo/apollo-12/movies/,200,381
www-a1.proxy.aol.com,01/Aug/1995:00:47:30,400,/images/ksclogo-medium.gif,200,5866
www-a1.proxy.aol.com,01/Aug/1995:00:47:31,400,/images/NASA-logosmall.gif,200,786
www-a1.proxy.aol.com,01/Aug/1995:00:47:32,400,/images/MOSAIC-logosmall.gif,200,363
ix-min1-02.ix.netcom.com,01/Aug/1995:00:47:34,400,/history/apollo/apollo-12/videos/,200,517
ix-min1-02.ix.netcom.com,01/Aug/1995:00:47:36,400,/history/apollo/apollo-12/videos/moonflag.mpg,200,0
bonnou.lab.kdd.co.jp,01/Aug/1995:00:47:50,400,/images/launch-logo.gif,200,1713
www-a1.proxy.aol.com,01/Aug/1995:00:47:57,400,/images/WORLD-logosmall.gif,200,669
ix-dc7-17.ix.netcom.com,01/Aug/1995:00:48:18,400,/shuttle/countdown/video/livevideo2.gif,200,71319
physpc9.csu.murdoch.edu.au,01/Aug/1995:00:48:23,400,/shuttle/countdown/,200,4324
grail911.nando.net,01/Aug/1995:00:48:36,400,/history/apollo/apollo-13/apollo-13.html,200,18556
celebrian.otago.ac.nz,01/Aug/1995:00:48:39,400,/shuttle/missions/sts-69/mission-sts-69.html,200,10566
www-a1.proxy.aol.com,01/Aug/1995:00:48:51,400,/shuttle/missions/missions.html,200,8677
