Hospital Name,Address,City,State,ZIP Code,Hospital 30-Day Death (Mortality) Rates from Heart Attack,Hospital 30-Day Death (Mortality) Rates from Heart Failure,Hospital 30-Day Death (Mortality) Rates from Pneumonia
MT EDGECUMBE HOSPITAL,222 TONGASS DR,SITKA,AK,99835,Not Available,Not Available,14.2
PROVIDENCE VALDEZ MEDICAL CENTER,PO BOX 550,VALDEZ,AK,99686,Not Available,Not Available,Not Available
PROVIDENCE SEWARD HOSPITAL,"417 FIRST AVENUE, PO BOX 365",SEWARD,AK,99664,Not Available,Not Available,Not Available
SITKA COMMUNITY HOSPITAL,209 MOLLER DRIVE,SITKA,AK,99835,Not Available,Not Available,11.5
PROVIDENCE KODIAK ISLAND MEDICAL CTR,1915 EAST REZANOF DRIVE,KODIAK,AK,99615,Not Available,Not Available,12
CORDOVA COMMUNITY MEDICAL CENTER,PO BOX 160 - 602 CHASE AVENUE,CORDOVA,AK,99574,Not Available,Not Available,Not Available
NORTON SOUND REGIONAL HOSPITAL,"306 WEST 5TH AVENUE, P O BOX 966",NOME,AK,99762,Not Available,Not Available,11.6
PEACEHEALTH KETCHIKAN MEDICAL             CENTER,3100 TONGASS AVENUE,KETCHIKAN,AK,99901,Not Available,11.4,11.3
SOUTH PENINSULA HOSPITAL,4300 BARTLETT ST,HOMER,AK,99603,Not Available,10.8,12.2
MARYVALE HOSPITAL,5102 WEST CAMPBELL AVENUE,PHOENIX,AZ,85031,Not Available,11,11.9
BANNER GOOD SAMARITAN MEDICAL CENTER,1111 EAST MCDOWELL ROAD,PHOENIX,AZ,85006,13.6,8.7,11.1
TUCSON MEDICAL CENTER,5301 EAST GRANT ROAD,TUCSON,AZ,85712,14.1,13,11.7
VERDE VALLEY MEDICAL CENTER,269 SOUTH CANDY LANE,COTTONWOOD,AZ,86326,20,9.6,13.2
CARONDELET ST  MARYS HOSPITAL,1601 WEST ST MARY'S ROAD,TUCSON,AZ,85745,17.2,10.9,10.9
CARONDELET ST JOSEPHS HOSPITAL,350 NORTH WILMOT ROAD,TUCSON,AZ,85711,16.5,9.7,15
YAVAPAI REGIONAL MEDICAL CENTER,1003 WILLOW CREEK ROAD,PRESCOTT,AZ,86301,14.3,12.7,11.7
YUMA REGIONAL MEDICAL CENTER,2400 SOUTH AVENUE A,YUMA,AZ,85364,13.7,13.5,13.8
JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,250 EAST DUNLAP AVENUE,PHOENIX,AZ,85020,14.7,10.6,10
CASA GRANDE REGIONAL MEDICAL CENTER,1800 EAST FLORENCE BOULEVARD,CASA GRANDE,AZ,85222,15.4,12.4,15.1
MARICOPA MEDICAL CENTER,2601 EAST ROOSEVELT STREET,PHOENIX,AZ,85008,Not Available,Not Available,Not Available
FLAGSTAFF MEDICAL CENTER,1200 NORTH BEAVER STREET,FLAGSTAFF,AZ,86001,13.6,12.8,10.2
ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,350 WEST THOMAS ROAD,PHOENIX,AZ,85013,17,11.1,12.3
PHOENIX BAPTIST HOSPITAL,2000 WEST BETHANY HOME ROAD,PHOENIX,AZ,85015,17.3,12.4,15.3
PAYSON REGIONAL MEDICAL CENTER,807 SOUTH PONDEROSA DRIVE,PAYSON,AZ,85541,Not Available,10.1,15
CHANDLER REGIONAL MEDICAL CENTER,475 SOUTH DOBSON ROAD,CHANDLER,AZ,85224,15.4,10.1,10.5
ST LUKES MEDICAL CENTER,1800 EAST VAN BUREN STREET,PHOENIX,AZ,85006,15.5,10.5,12.5
SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,7400 EAST OSBORN ROAD,SCOTTSDALE,AZ,85251,16.6,10.3,11.6
SIERRA VISTA REGIONAL HEALTH CENTER INC,300 EL CAMINO REAL,SIERRA VISTA,AZ,85635,15.8,12.3,11.1
KINGMAN REGIONAL MEDICAL CENTER,3269 STOCKTON HILL ROAD,KINGMAN,AZ,86409,15.7,9.5,12.2
BANNER BOSWELL MEDICAL CENTER,10401 WEST THUNDERBIRD BOULEVARD,SUN CITY,AZ,85351,14.7,11.8,11.4
SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,2200 SHOW LOW LAKE ROAD,SHOW LOW,AZ,85901,14.2,11.3,13.5
"UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE",1501 NORTH CAMPBELL AVENUE,TUCSON,AZ,85724,14.2,9.5,10.1
BANNER DESERT MEDICAL CENTER,1400 SOUTH  DOBSON ROAD,MESA,AZ,85202,14,10,10.1
LA PAZ REGIONAL HOSPITAL,1200 WEST MOHAVE ROAD,PARKER,AZ,85344,14.2,11.3,11.7
MT GRAHAM REGIONAL MEDICAL CENTER,1600  SOUTH 20TH AVENUE,SAFFORD,AZ,85546,Not Available,14,11.9
HAVASU REGIONAL MEDICAL CENTER,101 CIVIC CENTER LANE,LAKE HAVASU CITY,AZ,86403,19.1,12.3,17.1
FORT DEFIANCE INDIAN HOSPITAL,PO BOX 649,FORT DEFIANCE,AZ,86504,Not Available,Not Available,12.4
TUBA CITY REGIONAL HEALTH CARE CORPORATION,PO BOX 600,TUBA CITY,AZ,86045,Not Available,11,10.6
SELLS INDIAN HEALTH SERVICE HOSPITAL,PO BOX 548,SELLS,AZ,85634,Not Available,Not Available,Not Available
SAN CARLOS INDIAN HOSPITAL,223 CIBECUE CIRCLE ROAD,SAN CARLOS,AZ,85550,Not Available,Not Available,Not Available
PHOENIX INDIAN MEDICAL CENTER,4212 NORTH 16TH STREET,PHOENIX,AZ,85016,Not Available,Not Available,12.6
PARADISE VALLEY HOSPITAL,3929 EAST BELL ROAD,PHOENIX,AZ,85032,17.2,13.9,13.9
CHINLE COMPREHENSIVE HEALTH CARE FACILITY,"US HWY 191, HOSPITAL ROAD",CHINLE,AZ,86503,Not Available,10.8,10.1
NORTHWEST MEDICAL CENTER,6200 NORTH LA CHOLLA BOULEVARD,TUCSON,AZ,85741,18.3,12.8,12.3
SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,9003 EAST SHEA BOULEVARD,SCOTTSDALE,AZ,85260,13.9,9.1,10.4
BANNER BAYWOOD MEDICAL CENTER,6644 EAST BAYWOOD AVENUE,MESA,AZ,85206,16,12.4,9.4
BANNER THUNDERBIRD MEDICAL CENTER,5555 WEST THUNDERBIRD ROAD,GLENDALE,AZ,85306,15.9,9,9.1
JOHN C LINCOLN DEER VALLEY HOSPITAL,19829 NORTH 27TH AVENUE,PHOENIX,AZ,85027,14.9,11.9,10
BANNER DEL E WEBB MEDICAL CENTER,14502 WEST MEEKER BOULEVARD,SUN CITY WEST,AZ,85375,14.6,12.1,12.2
ARROWHEAD HOSPITAL,18701 NORTH 67TH AVENUE,GLENDALE,AZ,85308,15.9,11,12.4
CARONDELET HEART AND VASCULAR INSTITUTE,4888 NORTH STONE AVENUE,TUCSON,AZ,85704,12.2,9.8,11.5
WESTERN ARIZONA REGIONAL MEDICAL CTR,2735 SILVER CREEK ROAD,BULLHEAD CITY,AZ,86442,14.1,11.1,12.9
MAYO CLINIC HOSPITAL,5777 EAST MAYO BOULEVARD,PHOENIX,AZ,85054,12,8.9,7.5
BANNER HEART HOSPITAL,6750 EAST BAYWOOD AVENUE,MESA,AZ,85206,12.8,9.7,Not Available
ARIZONA SPINE AND JOINT HOSPITAL,4620 EAST BASELINE ROAD,MESA,AZ,85206,Not Available,Not Available,Not Available
SURGICAL SPECIALTY HOSPITAL OF ARIZONA,6501 NORTH 19TH AVENUE,PHOENIX,AZ,85015,Not Available,Not Available,Not Available
WEST VALLEY HOSPITAL,13677 WEST MCDOWELL ROAD,GOODYEAR,AZ,85395,17.1,11.6,12.2
"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",2800 EAST AJO WAY,TUCSON,AZ,85713,17,12.4,10.9
ARIZONA ORTHOPEDIC SURGICAL HOSPITAL,2905 WEST WARNER ROAD,CHANDLER,AZ,85225,Not Available,Not Available,Not Available
WHITERIVER PHS INDIAN HOSPITAL,200 WEST HOSPITAL DRIVE  (PO BOX 860),WHITERIVER,AZ,85941,Not Available,Not Available,10.5
ORO VALLEY HOSPITAL,1551 EAST TANGERINE ROAD,ORO VALLEY,AZ,85755,15,12.5,9.1
BANNER ESTRELLA MEDICAL CENTER,9201 WEST THOMAS ROAD,PHOENIX,AZ,85037,15.8,10.8,10.1
VALLEY VIEW MEDICAL CENTER,5330 SOUTH HIGHWAY 95,FORT MOHAVE,AZ,86426,15.9,11.1,11.6
YAVAPAI REGIONAL MEDICAL CENTER-EAST,7700 EAST FLORENTINE ROAD,PRESCOTT VALLEY,AZ,86314,Not Available,11.3,14.9
MERCY GILBERT MEDICAL CENTER,3555 SOUTH VAL VISTA DRIVE,GILBERT,AZ,85296,16.1,10,10
GILBERT HOSPITAL,5656 SOUTH POWER ROAD,GILBERT,AZ,85295,Not Available,9.9,9.6
"MOUNTAIN VISTA MEDICAL CENTER, LP",1301 SOUTH CRISMON ROAD,MESA,AZ,85209,18,11.6,9.4
BANNER GATEWAY MEDICAL CENTER,1900 NORTH HIGLEY ROAD,GILBERT,AZ,85234,14.7,11.7,10.5
SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,7400 EAST THOMPSON PEAK PARKWAY,SCOTTSDALE,AZ,85255,Not Available,12.2,11.2
ARIZONA REGIONAL MEDICAL CENTER,515 NORTH MESA DRIVE,MESA,AZ,85201,18.9,11.6,11.1
BANNER IRONWOOD MEDICAL CENTER,37000 NORTH GANTZEL ROAD,SAN TAN VALLEY,AZ,85140,Not Available,Not Available,Not Available
OASIS HOSPITAL,750 NORTH 40TH STREET,PHOENIX,AZ,85008,Not Available,Not Available,Not Available
VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT                      ,AZ,86313,Not Available,11.8,12.9
WICKENBURG COMMUNITY HOSPITAL,520 ROSE LANE,WICKENBURG,AZ,85390,Not Available,10.3,9.9
BENSON HOSPITAL,450 SOUTH OCOTILLO STREET,BENSON,AZ,85602,Not Available,Not Available,10.2
NORTHERN COCHISE COMMUNITY HOSPITAL,901 WEST REX ALLEN DRIVE,WILLCOX,AZ,85643,Not Available,Not Available,11.6
SOUTHEAST ARIZONA MEDICAL CENTER,2174 WEST OAK AVENUE,DOUGLAS,AZ,85607,Not Available,Not Available,10.2
PAGE HOSPITAL,501 NORTH NAVAJO DRIVE,PAGE,AZ,86040,Not Available,Not Available,Not Available
HOPI HEALTH CARE CENTER,"HIGHWAY 264, MILEPOST 388",POLACCA,AZ,86042,Not Available,Not Available,11
SAGE MEMORIAL HOSPITAL,STATE ROUTE 264 SOUTH 191 PO BOX 457,GANADO,AZ,86505,Not Available,Not Available,10.3
LITTLE COLORADO MEDICAL CENTER,1501 NORTH WILLIAMSON AVENUE,WINSLOW,AZ,86047,Not Available,Not Available,11.2
COPPER QUEEN COMMUNITY HOSPITAL,101 COLE AVENUE,BISBEE,AZ,85603,Not Available,Not Available,12
CARONDELET HOLY CROSS HOSPITAL,1171 WEST TARGET RANGE ROAD,NOGALES,AZ,85621,Not Available,Not Available,Not Available
COBRE VALLEY REGIONAL MEDICAL CENTER,5880 SOUTH HOSPITAL DRIVE,GLOBE,AZ,85501,14.4,8.9,8.7
WHITE MOUNTAIN REGIONAL MEDICAL CENTER,118 SOUTH MOUNTAIN AVENUE,SPRINGERVILLE,AZ,85938,Not Available,Not Available,10.9
PHOENIX CHILDREN'S HOSPITAL,1919 EAST THOMAS ROAD,PHOENIX,AZ,85016,Not Available,Not Available,Not Available
SILOAM SPRINGS MEMORIAL HOSPITAL,205 EAST JEFFERSON STREET,SILOAM SPRINGS,AR,72761,15.6,11.8,13.8
JOHNSON REGIONAL MEDICAL CENTER,1100 EAST POPLAR STREET,CLARKSVILLE,AR,72830,16.9,11.8,13.8
WASHINGTON REGIONAL MED CTR AT NORTH HILLS,3215 N NORTH HILLS BLVD,FAYETTEVILLE,AR,72703,15.2,13.9,13.4
ST VINCENT INFIRMARY MEDICAL CENTER,TWO ST VINCENT CIRCLE,LITTLE ROCK,AR,72205,16.9,12.8,12
MERCY MEDICAL CENTER,2710 RIFE MEDICAL LANE,ROGERS,AR,72758,14.8,13,13.4
"JOHN ED CHAMBERS MEM HOSP, INC",HIGHWAY 10 AT DETROIT STREET,DANVILLE,AR,72833,17.3,10,12.1
WHITE COUNTY MEDICAL CENTER,3214 EAST RACE AVENUE,SEARCY,AR,72143,17.5,13.7,12.5
MENA REGIONAL HEALTH SYSTEM,311 NORTH MORROW STREET,MENA,AR,71953,Not Available,13.5,13.3
UAMS MEDICAL CENTER,4301 WEST MARKHAM STREET MAIL SLOT 612,LITTLE ROCK,AR,72205,16.5,12.1,12.6
NORTH ARKANSAS REGIONAL MEDICAL CENTER,620 NORTH MAIN STREET,HARRISON,AR,72601,17.2,11.2,11.8
SUMMIT MEDICAL CENTER,EAST MAIN AND SOUTH 20TH STREET,VAN BUREN,AR,72956,Not Available,14,12.8
FORREST CITY MEDICAL CENTER,1601 NEWCASTLE ROAD,FORREST CITY,AR,72335,Not Available,12.8,15.3
ST BERNARDS MEDICAL CTR,225 E JACKSON,JONESBORO,AR,72401,17.7,14.6,13.3
"NW ARKANSAS HOSPITALS, LLC",609 WEST MAPLE AVENUE,SPRINGDALE,AR,72764,17.3,11.9,11.5
ST JOSEPHS MERCY HEALTH CENTER INC,300 WERNER STREET,HOT SPRINGS,AR,71903,17.4,14.3,11.3
BAXTER REGIONAL MEDICAL CENTER,624 HOSPITAL DRIVE,MOUNTAIN HOME,AR,72653,16.4,14.7,16.1
CONWAY REGIONAL MEDICAL CENTER,2302 COLLEGE AVENUE,CONWAY,AR,72034,18.9,15.6,14.9
BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,3333 SPRINGHILL DRIVE,NORTH LITTLE ROCK,AR,72117,14.4,13.3,10.2
ARKANSAS METHODIST MEDICAL CENTER,900 WEST KINGSHIGHWAY,PARAGOULD,AR,72450,17.1,14.4,11.7
ST MARYS REGIONAL MEDICAL CENTER,1808 WEST MAIN STREET,RUSSELLVILLE,AR,72801,18.8,13.1,15.4
CRITTENDEN MEMORIAL HOSPITAL,200 TYLER,WEST MEMPHIS,AR,72301,14.4,10.9,12.6
FIVE RIVERS MEDICAL CENTER,2801 MEDICAL CENTER DRIVE,POCAHONTAS,AR,72455,Not Available,14,11.4
OUACHITA COUNTY MEDICAL CENTER,638 CALIFORNIA AVENUE,CAMDEN,AR,71701,Not Available,12.5,12.4
