name,lat,lon,alt,tz,tzone
"Alakanuk Airport",62.68,-164.66,10,-9,America/Anchorage
"Auburn University Regional",32.3691,-85.2604,777,-6,America/Chicago
"Austin Bergstrom Intl",30.194528,-97.669889,542,-6,America/Chicago
"Wausau Downtown Airport",44.9262845,-89.6270018,1201,-6,America/Chicago
"Asheville Regional Airport",35.436194,-82.541806,2165,-5,America/New_York
Executive,27.591389,-81.528889,160,-5,America/New_York
"Wilkes Barre Scranton Intl",41.338478,-75.723403,962,-5,America/New_York
"Marana Regional",32.409556,-111.218388,2031,-7,America/Phoenix
Avalon,33.405,-118.415833,1602,-8,America/Los_Angeles
"Phoenix-Mesa Gateway",33.307833,-111.655,1382,-7,America/Phoenix
Kalamazoo,42.234875,-85.552058,874,-5,America/New_York
"Beale Afb",39.136089,-121.436567,113,-8,America/Los_Angeles
"Barksdale Afb",32.50182,-93.662674,166,-6,America/Chicago
"Barnes Municipal",42.1579472,-72.715875,270,-5,America/New_York
"Wings Field",40.1375,-75.265,302,-5,America/New_York
"Bryce Canyon",37.706444,-112.145806,7590,-7,America/Denver
"Boca Raton",26.3785,-80.107694,13,-5,America/New_York
"Baudette Intl",48.728444,-94.612222,1086,-6,America/Chicago
"Bradley Intl",41.938889,-72.683222,173,-5,America/New_York
"Igor I Sikorsky Mem",41.163472,-73.126167,9,-5,America/New_York
"Beech Factory Airport",37.6939167,-97.2149167,1409,-6,America/Chicago
"Laurence G Hanscom Fld",42.469953,-71.289031,133,-5,America/New_York
"Southwest Michigan Regional Airport",42.1285833,-86.4285,643,-5,America/New_York
Bethel,60.779778,-161.838,121,-9,America/Anchorage
"Bradford Regional Airport",41.8031,-78.6401,2143,-5,America/New_York
"Western Nebraska Regional Airport",41.874,-103.596,3967,-7,America/Denver
"Boeing Fld King Co Intl",47.53,-122.301947,21,-8,America/Los_Angeles
"Meadows Fld",35.433598,-119.05677,507,-8,America/Los_Angeles
"Mobile Downtown",30.626783,-88.068092,26,-6,America/Chicago
"Beaver Falls",40.7724722,-80.3914444,1253,-5,America/New_York
Beaufort,32.477411,-80.723161,37,-5,America/New_York
"Decatur County Industrial Air Park",30.9715981,-84.6369278,141,-5,America/New_York
"Greater Binghamton Edwin A Link Fld",42.208689,-75.979839,1636,-5,America/New_York
"Bangor Intl",44.807444,-68.828139,192,-5,America/New_York
"Hancock County - Bar Harbor",44.4497689,-68.3615653,83,-5,America/New_York
"Birmingham Intl",33.562942,-86.75355,644,-6,America/Chicago
"Block Island State Airport",41.168056,-71.577778,108,-5,America/New_York
"Biggs Aaf",31.849528,-106.380039,3948,-7,America/Denver
"Allen Aaf",63.994547,-145.721642,1291,-9,America/Anchorage
"Billings Logan International Airport",45.80921,-108.537654,3652,-7,America/Denver
"Bismarck Municipal Airport",46.775842,-100.757931,1661,-6,America/Chicago
"Tulip City Airport",42.7427778,-86.1078333,698,-5,America/New_York
"Keesler Afb",30.410425,-88.924433,33,-6,America/Chicago
"Rocky Mountain Metropolitan Airport",39.90888888,-105.11722222,5670,-7,America/Denver
"Bemidji Regional Airport",47.510722,-94.934722,1391,-6,America/Chicago
"Buckland Airport",65.981667,-161.149167,31,-9,America/Anchorage
"Stephens Co",32.719047,-98.891,1284,-6,America/Chicago
"Buckley Afb",39.701668,-104.75166,5662,-7,America/Denver
"Branson LLC",36.531994,-93.200556,1302,-6,America/Chicago
"Barking Sands Pmrf",22.022833,-159.785,23,-10,Pacific/Honolulu
"Burke Lakefront Airport",41.5175,-81.683333,583,-5,America/New_York
"Raleigh County Memorial Airport",37.7873,-81.1242,2504,-5,America/New_York
"Brookings Regional Airport",44.3048,-96.8169,1648,-6,America/Chicago
"Boulder City Municipal Airport",35.5651,-114.514,2201,-7,America/Phoenix
"Mercer County Airport",37.2958,-81.2077,2857,-5,America/New_York
"Blythe Airport",33.619167,-114.716889,399,-8,America/Los_Angeles
"Bellingham Intl",48.792694,-122.537528,170,-8,America/Los_Angeles
"Scott Afb Midamerica",38.545178,-89.835183,459,-6,America/Chicago
"Brigham City",41.552,-112.062,4229,-7,America/Denver
"Monroe County Airport",39.1460208,-86.6166805,846,-5,America/New_York
"Central Illinois Rgnl",40.477111,-88.915917,871,-6,America/Chicago
"Beaumont Municipal",30.0702044,-94.2150967,32,-6,America/Chicago
"Big Mountain Afs",59.361247,-155.258822,663,-9,America/Anchorage
"Nashville Intl",36.124472,-86.678194,599,-6,America/Chicago
"Boise Air Terminal",43.564361,-116.222861,2871,-7,America/Denver
"General Edward Lawrence Logan Intl",42.364347,-71.005181,19,-5,America/New_York
"Bartow Municipal Airport",27.9434,-81.7834,125,-5,America/New_York
"Southeast Texas Rgnl",29.950833,-94.020694,15,-6,America/Chicago
"Brunswick Golden Isles Airport",31.2588,-81.4665,26,-5,America/New_York
"Brainerd Lakes Rgnl",46.398308,-94.138078,1226,-6,America/Chicago
"Southeast Iowa Regional Airport",40.7832,-91.1255,698,-6,America/Chicago
"Brownsville South Padre Island Intl",25.906833,-97.425861,22,-6,America/Chicago
"Wiley Post Will Rogers Mem",71.285446,-156.766003,44,-9,America/Anchorage
"Bradshaw Aaf",19.760056,-155.553717,6190,-10,Pacific/Honolulu
"Barter Island Lrrs",70.133989,-143.581867,2,-9,America/Anchorage
"Bert Mooney Airport",45.954806,-112.497472,5550,-7,America/Denver
"Baton Rouge Metro Ryan Fld",30.533167,-91.149639,70,-6,America/Chicago
Bettles,66.913944,-151.529056,644,-9,America/Anchorage
"Burlington Intl",44.471861,-73.153278,335,-5,America/New_York
"Buffalo Niagara Intl",42.940525,-78.732167,724,-5,America/New_York
"Bob Hope",34.200667,-118.358667,778,-8,America/Los_Angeles
"Municipal Airport",42.6907171,-88.3046825,780,-6,America/Chicago
"Burlington-Alamance Regional Airport",36.0485433,-79.4748892,617,-5,America/New_York
"Beverly Municipal Airport",42.584141,-70.9161444,107,-5,America/New_York
KBWD,31.7936111,-98.9565,1387,-6,America/Chicago
"Bowling Green-Warren County Regional Airport",36.9645278,-86.4196667,547,-6,America/Chicago
"Baltimore Washington Intl",39.175361,-76.668333,146,-5,America/New_York
"Buckeye Municipal Airport",33.420417,-112.68618,1033,-7,America/Phoenix
"Borrego Valley Airport",33.2590278,-116.3209722,520,-8,America/Los_Angeles
"Arkansas Intl",35.964347,-89.943956,254,-6,America/Chicago
"Bicycle Lake Aaf",35.280531,-116.630031,2350,-8,America/Los_Angeles
"Blakely Island Airport",48.56025,-122.80243,0,-8,America/Los_Angeles
"Gallatin Field",45.777643,-111.160151,4500,-7,America/Denver
"Grand Geneva Resort Airport",42.6149167,-88.3895833,835,-6,America/Chicago
"Frasca Field",40.144979,-88.200197,735,-6,America/Chicago
"Portage Municipal Airport",43.5603136,-89.4828607,825,-6,America/Chicago
"Plymouth Municipal Airport",41.3651307,-86.3002574,800,-5,America/New_York
"Sylvania Airport",42.70325,-87.9589722,785,-6,America/Chicago
"Dowagiac Municipal Airport",41.9929342,-86.1280125,748,-5,America/New_York
"Columbia Metropolitan",33.938833,-81.119528,236,-5,America/New_York
"Akron Canton Regional Airport",40.9160833,-81.4421944,1228,-5,America/New_York
"Caribou Muni",46.8715,-68.017917,626,-5,America/New_York
"Greater Cumberland Rgnl.",39.615278,-78.760556,775,-5,America/New_York
"Columbus Afb",33.643833,-88.443833,219,-6,America/Chicago
"Coweta County Airport",33.3115656,-84.7697554,970,-5,America/New_York
"Buchanan Field Airport",37.9896667,-122.0568889,26,-8,America/Los_Angeles
"Cold Bay",55.206061,-162.725436,96,-9,America/Anchorage
"Cedar City Rgnl",37.700967,-113.098847,5622,-7,America/Denver
"Cambridge Municipal Airport",39.9750278,-81.5775833,799,-5,America/New_York
CedarKey,29.1342222,-83.0504722,11,-5,America/New_York
"Woodward Field",34.2835833,-80.5648611,302,-5,America/New_York
"Chadron Municipal Airport",42.8375,-103.095556,3297,-7,America/Denver
"Childress Muni",34.433781,-100.287992,1954,-6,America/Chicago
"Merle K Mudhole Smith",60.491778,-145.477556,48,-9,America/Anchorage
"Caldwell Essex County Airport",40.8752222,-74.2813611,172,-5,America/New_York
"Del Norte County Airport",41.7802,-124.237,57,-8,America/Los_Angeles
"Westover Arb Metropolitan",42.194014,-72.534783,241,-5,America/New_York
"Central Airport",65.573889,-144.780833,937,-9,America/Anchorage
Clemson,34.6722222,-82.8858889,891,-5,America/New_York
"Bob Sikes",30.778833,-86.522111,213,-6,America/Chicago
"Cortez Muni",37.303,-108.628056,5918,-7,America/Denver
"Coulter Fld",30.715694,-96.331361,367,-6,America/Chicago
"Craig Seaplane Base",55.478889,-133.147778,0,-9,America/Anchorage
"Crystal River",28.8676111,-82.5741111,9,-5,America/New_York
"Cuyahoga County",41.565124,-81.4863555,879,-5,America/New_York
"Cape Girardeau Regional Airport",37.2253,-89.5708,342,-6,America/Chicago
"Meigs Field",41.860278,-87.609722,585,-6,America/Chicago
"Casa Grande Municipal Airport",32.954889,-111.766832,1464,-7,America/Phoenix
"Lovell Fld",35.035278,-85.203808,683,-5,America/New_York
"All Airports",41.883611,-87.631667,596,-6,America/Chicago
Charlottesville-Albemarle,38.138639,-78.452861,639,-5,America/New_York
"Charleston Afb Intl",32.898647,-80.040528,45,-5,America/New_York
"Chuathbaluk Airport",61.579167,-159.215556,243,-9,America/Anchorage
"Chico Muni",39.795383,-121.858422,238,-8,America/Los_Angeles
"Cedar Rapids",41.884694,-91.710806,869,-6,America/Chicago
"Chalkyitsik Airport",66.645,-143.74,544,-9,America/Anchorage
"Council Airport",64.897778,-163.703333,85,-9,America/Anchorage
"Chippewa County International Airport",46.2508,-84.4724,800,-5,America/New_York
"Harrison Marion Regional Airport",39.2966,-80.2281,1217,-5,America/New_York
"Crooked Creek Airport",61.867778,-158.135,178,-9,America/Anchorage
"Crisp County Cordele Airport",31.9888333,-83.7739167,310,-5,America/New_York
"Clarksville-Montgomery County Regional Airport",36.621944,-87.415,550,-6,America/Chicago
"Clear Lake Metroport",29.5569,-95.137497,35,-6,America/Chicago
"McClellan-Palomar Airport",33.0742,-117.1648,328,-8,America/Los_Angeles
"Cleveland Hopkins Intl",41.411689,-81.849794,791,-5,America/New_York
"Easterwood Fld",30.588583,-96.363833,321,-6,America/Chicago
"William R Fairchild International Airport",48.1202,-123.5,291,-8,America/Los_Angeles
Chehalis-Centralia,46.4062,-122.5897,177,-8,America/Los_Angeles
"Charlotte Douglas Intl",35.214,-80.943139,748,-5,America/New_York
"Clearwater Air Park",27.9764722,-82.7586667,70,-5,America/New_York
"Port Columbus Intl",39.997972,-82.891889,815,-5,America/New_York
Champaign,40.03925,-88.278056,754,-6,America/Chicago
"Houghton County Memorial Airport",47.1684,-88.4891,1095,-5,America/New_York
"Cavern City Air Terminal",32.337472,-104.263278,3295,-7,America/Denver
"Tstc Waco",31.637831,-97.074139,470,-6,America/Chicago
"Canyonlands Field",38.755,-109.754722,4555,-7,America/Denver
"Yellowstone Rgnl",44.520194,-109.023806,5102,-7,America/Denver
"Pappy Boyington",47.7743056,-116.8195833,2320,-8,America/Los_Angeles
"Patrick Afb",28.234922,-80.610125,8,-5,America/New_York
"Merritt Island Airport",28.3416111,-80.6854722,6,-5,America/New_York
"Concord Municipal",43.20267,-71.50233,342,-5,America/New_York
"City Of Colorado Springs Muni",38.805805,-104.700778,6187,-7,America/Denver
"Cotulla Lasalle Co",28.456694,-99.220294,474,-6,America/Chicago
"Columbia Rgnl",38.818094,-92.219631,889,-6,America/Chicago
"Natrona Co Intl",42.908,-106.464417,5347,-7,America/Denver
"St. Louis Downtown Airport",38.5707244,-90.1562211,413,-6,America/Chicago
"Grand Strand Airport",33.81175,-78.7239444,31,-5,America/New_York
"Corpus Christi Intl",27.770361,-97.501222,44,-6,America/Chicago
Yeager,38.373147,-81.593189,981,-5,America/New_York
"Columbus Metropolitan Airport",32.5163333,-84.9388611,397,-5,America/New_York
"Cut Bank Muni",48.608353,-112.376144,3854,-7,America/Denver
"Chester County G O Carlson Airport",39.9789,-75.8654,660,-5,America/New_York
"West Georgia Regional Airport - O V Gray Field",33.6316964,-85.1522641,1165,-5,America/New_York
"Cross City",29.6355278,-83.10475,42,-5,America/New_York
"Cincinnati Northern Kentucky Intl",39.048836,-84.667822,896,-5,America/New_York
"Clovis Muni",34.425139,-103.079278,4216,-7,America/Denver
"Corvallis Muni",44.5067,-123.2915,250,-8,America/Los_Angeles
"Cannon Afb",34.382775,-103.322147,4295,-7,America/Denver
"Charlevoix Municipal Airport",45.3047778,-85.2753333,669,-5,America/New_York
"Central Wisconsin",44.772726,-89.646635,840,-6,America/Chicago
"Clinton Municipal",41.83075,-90.3289722,708,-6,America/Chicago
"Chatsworth Station",34.256944,-118.598889,978,-8,America/Los_Angeles
"Coldfoot Airport",67.251389,-150.176111,1014,-9,America/Anchorage
"Calexico Intl",32.669502,-115.51333,4,-8,America/Los_Angeles
"Lone Star Executive",30.351833,-95.414467,245,-6,America/Chicago
"Capital City Airport",40.2171389,-76.8513611,347,-5,America/New_York
"Chefornak Airport",60.149167,-164.285556,40,-9,America/Anchorage
"Chatham Seaplane Base",57.515,-134.946111,0,-9,America/Anchorage
"Cheyenne Rgnl Jerry Olson Fld",41.155722,-104.811839,6156,-7,America/Denver
"Yakataga Airport",60.081901,-142.493611,12,-9,America/Anchorage
"Cape Romanzof Lrrs",61.780297,-166.038747,457,-9,America/Anchorage
Tri-Cities,42.0471,-76.0578,833,-5,America/New_York
"Chisana Airport",62.071111,-142.048333,1011,-9,America/Anchorage
"Daytona Beach Intl",29.179917,-81.058056,34,-5,America/New_York
"Dallas Love Fld",32.847111,-96.851778,487,-6,America/Chicago
"Skyhaven Airport",43.2840556,-70.9292778,321,-5,America/New_York
"James M Cox Dayton Intl",39.902375,-84.219375,1009,-5,America/New_York
"W H Barron Field",32.3388,-82.591,311,-5,America/New_York
"Dubuque Rgnl",42.402,-90.709472,1076,-6,America/Chicago
"Ronald Reagan Washington Natl",38.852083,-77.037722,15,-5,America/New_York
"Dodge City Regional Airport",37.7634,-99.9656,2594,-6,America/Chicago
Decatur,39.834564,-88.865689,682,-6,America/Chicago
"Denver Intl",39.861656,-104.673178,5431,-7,America/Denver
"Coleman A Young Muni",42.409195,-83.009861,626,-5,America/New_York
"Dallas Fort Worth Intl",32.896828,-97.037997,607,-6,America/Chicago
"Douglas Municipal Airport",31.3426028,-109.5064544,4173,-7,America/Phoenix
"Deer Harbor Seaplane",48.618397,-123.00596,0,-8,America/Los_Angeles
"Dothan Rgnl",31.321339,-85.449628,401,-6,America/Chicago
"Dalhart Muni",36.022586,-102.547278,3991,-6,America/Chicago
"Dickinson Theodore Roosevelt Regional Airport",46.7975,-102.801944,2592,-7,America/Denver
"De Kalb Taylor Municipal Airport",41.9338342,-88.7056864,914,-6,America/Chicago
"Chautauqua County-Dunkirk Airport",42.4933353,-79.2720417,693,-5,America/New_York
"Knoxville Downtown Island Airport",35.9638333,-83.8736667,833,-5,America/New_York
"Laughlin Afb",29.359486,-100.777975,1082,-6,America/Chicago
Dillingham,59.044667,-158.5055,74,-9,America/Anchorage
"Duluth Intl",46.842091,-92.193649,1428,-6,America/Chicago
"Baraboo Wisconsin Dells Airport",43.5217843,-89.7709266,979,-6,America/Chicago
"Davis Monthan Afb",32.166467,-110.883144,2704,-7,America/Phoenix
"Daniel Field Airport",33.4665028,-82.0393808,423,-5,America/New_York
"Dalton Municipal Airport",34.7229444,-84.87025,709,-5,America/New_York
"Vermilion Regional",40.1996944,-87.5955278,696,-6,America/Chicago
"Dover Afb",39.129539,-75.465958,28,-5,America/New_York
Dupage,41.907778,-88.248611,758,-6,America/Chicago
"Douglas Municipal Airport",31.4767385,-82.8605664,257,-5,America/New_York
"Deering Airport",66.0696,-162.766,21,-9,America/Anchorage
"Beauregard Rgnl",30.831722,-93.339917,202,-6,America/Chicago
"Drummond Island Airport",46.0093114,-83.7439342,668,-5,America/New_York
"Durango La Plata Co",37.151516,-107.75377,6685,-7,America/Denver
"Del Rio Intl",29.374208,-100.927158,1002,-6,America/Chicago
"Des Moines Intl",41.533972,-93.663083,958,-6,America/Chicago
"Delta Municipal Airport",39.3806386,-112.5077147,4759,-7,America/Denver
Destin,30.4000611,-86.4714772,23,-6,America/Chicago
"Detroit Metro Wayne Co",42.212444,-83.353389,645,-5,America/New_York
"Halliburton Field Airport",34.4713056,-97.9598611,1114,-6,America/Chicago
"Bisbee Douglas Intl",31.469028,-109.603667,4154,-7,America/Phoenix
"DuBois Regional Airport",41.1783,-78.8987,1817,-5,America/New_York
Unalaska,53.900139,-166.5435,22,-9,America/Anchorage
"Devils Lake Regional Airport",48.114444,-98.908611,1445,-6,America/Chicago
